Ref,Status,Location,Description,Created,Target,Type,To Package,Status Changed,Association,OverDue,Images,Comments,Documents,Priority,Cause,Project,Report Status,Task Group,Resolution_Days,OverDue_Flag
T113852.36,Closed,JPC Project Management,Walls started on level 1,2020-01-30,,JPC - Progress Photo,Internal Partitions & Ceilings,2020-01-30,None,False,True,False,False,Standard,Unassigned,1330,Closed,Site Management,0,0
T86430.29,Closed,1330 - Regeneron Building 19,Poor housekeeping,2020-01-30,,Safety Notice (Amber) - General Issue,Groundworks & Drainage,2020-03-20,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1330,Closed,Safety,50,0
T86430.28,Closed,1330 - Regeneron Building 19,Poor housekeeping,2020-01-30,,Safety Notice (Amber) - General Issue,Concrete,2020-03-20,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1330,Closed,Safety,50,0
T86430.27,Closed,1330 - Regeneron Building 19,Mortar bin not to be stored on Loading bay,2020-01-30,,Safety Notice (Amber) - General Issue,Concrete,2020-03-20,FormAnswer,False,True,False,False,Standard,JPC - Safety - Storage,1330,Closed,Safety,50,0
T113852.35,Closed,JPC Project Management,letter box around cable tray level 3,2020-01-30,,JPC - Progress Photo,Internal Partitions & Ceilings,2020-01-30,None,False,True,False,False,Standard,Unassigned,1330,Closed,Site Management,0,0
T113852.34,Closed,JPC Project Management,letter box framed out on level 3 GL9,2020-01-30,,JPC - Progress Photo,Internal Partitions & Ceilings,2020-01-30,None,False,True,False,False,Standard,Unassigned,1330,Closed,Site Management,0,0
T113852.33,Closed,JPC Project Management,installing beams on level 1 GL 9,2020-01-30,,JPC - Progress Photo,Internal Partitions & Ceilings,2020-01-30,None,False,True,False,False,Standard,Unassigned,1330,Closed,Site Management,0,0
T113852.32,Closed,JPC Project Management>Site Management>04 Progress Photos,setting out walls on level 3 East side,2020-01-30,,JPC - Progress Photo,Internal Partitions & Ceilings,2020-01-30,None,False,True,False,False,Standard,Unassigned,1330,Closed,Site Management,0,0
T113852.31,Closed,JPC Project Management,boxing of beams along GL 8 level 1 progressing,2020-01-29,,JPC - Progress Photo,Internal Partitions & Ceilings,2020-01-29,None,False,True,False,False,Standard,Unassigned,1330,Closed,Site Management,0,0
T113852.30,Closed,JPC Project Management,Drilling for dowel bars progressing to level 2 recess,2020-01-29,,JPC - Progress Photo,Concrete,2020-01-29,None,False,True,False,False,Standard,Unassigned,1330,Closed,Site Management,0,0
T113852.29,Closed,JPC Project Management,coring and gully install,2020-01-29,,JPC - Progress Photo,Concrete Coring,2020-01-29,None,False,True,False,False,Standard,Unassigned,1330,Closed,Site Management,0,0
T113852.28,Closed,JPC Project Management,Goal posts and brackets progressing,2020-01-29,,JPC - Progress Photo,Secondary Steel,2020-01-29,None,False,True,False,False,Standard,Unassigned,1330,Closed,Site Management,0,0
T113852.27,Closed,JPC Project Management,scaffolding completed to goods lift,2020-01-29,,JPC - Progress Photo,Scaffolding,2020-01-29,None,False,True,False,False,Standard,Unassigned,1330,Closed,Site Management,0,0
T113852.26,Closed,JPC Project Management,Upstands progressing on level 3,2020-01-29,,JPC - Progress Photo,Concrete,2020-01-29,None,False,True,False,False,Standard,Unassigned,1330,Closed,Site Management,0,0
T113852.25,Closed,JPC Project Management,all gullys and flat plates fitted on level 3,2020-01-29,,JPC - Progress Photo,Main Contractor,2020-01-29,None,False,True,False,False,Standard,Unassigned,1330,Closed,Site Management,0,0
T113852.24,Closed,JPC Project Management,Walls started on level 3 between GL 9 and 10,2020-01-29,,JPC - Progress Photo,Internal Partitions & Ceilings,2020-01-29,None,False,True,True,False,Standard,Unassigned,1330,Closed,Site Management,0,0
T113852.23,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,Lavin storage hut,2020-01-29,,Safety Notice (Green) - Good Observation,Groundworks & Drainage,2020-01-29,FormAnswer,False,True,True,False,Standard,JPC - Safety - Environmental,1330,Closed,Safety,0,0
T113852.22,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,JPC storage hut,2020-01-29,,Safety Notice (Green) - Good Observation,Concrete,2020-01-29,FormAnswer,False,True,True,False,Standard,JPC - Safety - House Keeping,1330,Closed,Safety,0,0
T113852.21,Closed,JPC Project Management>EHS Forms>01 Inspections,timber skip overflowing,2020-01-29,,Safety Notice (Amber) - General Issue,Main Contractor,2020-02-07,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1330,Closed,Safety,9,0
T113852.20,Closed,JPC Project Management>EHS Forms>01 Inspections,no plant nappy under power floats,2020-01-29,,Safety Notice (Amber) - General Issue,Concrete,2020-03-06,FormAnswer,False,True,False,False,Standard,JPC - Safety - Environmental,1330,Closed,Safety,37,0
T113852.19,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,good exclusion zone,2020-01-29,,Safety Notice (Green) - Good Observation,Internal Partitions & Ceilings,2020-01-29,FormAnswer,False,True,True,False,Standard,JPC - Safety - Exclusion Zones,1330,Closed,Safety,0,0
T113852.18,Closed,JPC Project Management>EHS Forms>01 Inspections,remove all excess materials from floor,2020-01-29,,Safety Notice (Amber) - General Issue,Concrete,2020-02-07,FormAnswer,False,True,False,False,Standard,JPC - Quality - Management,1330,Closed,Safety,9,0
T113852.17,Closed,JPC Project Management>EHS Forms>01 Inspections,remove timber pallets,2020-01-29,,Safety Notice (Amber) - General Issue,Internal Partitions & Ceilings,2020-02-07,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1330,Closed,Safety,9,0
T113852.16,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,good exclusion zone,2020-01-29,,Safety Notice (Green) - Good Observation,Internal Partitions & Ceilings,2020-01-29,FormAnswer,False,True,True,False,Standard,JPC - Safety - Exclusion Zones,1330,Closed,Safety,0,0
T109023.27,EHS Good Observation,JPC Project Management>EHS Forms,good exposure of 50mm ducts in a deep dig,2020-01-28,,Safety Notice (Green) - Good Observation,Groundworks & Drainage,2020-01-28,FormAnswer,False,True,False,False,Standard,JPC - Quality - Workmanship,1330,Closed,Safety,0,0
T109023.26,EHS Good Observation,JPC Project Management>EHS Forms,good exposure of t0mm ducts in a deep dig,2020-01-28,,Safety Notice (Green) - Good Observation,Groundworks & Drainage,2020-01-28,None,False,True,False,False,Standard,JPC - Quality - Workmanship,1330,Closed,Safety,0,0
T109023.25,Closed,JPC Project Management>EHS Forms,no plant nappy under the petrol saw,2020-01-28,,Safety Notice (Amber) - General Issue,Concrete,2020-03-20,FormAnswer,False,True,True,False,Standard,JPC - Safety - Environmental,1330,Closed,Safety,52,0
T109023.24,Closed,JPC Project Management>EHS Forms,red hoop barrier missing,2020-01-28,,Safety Notice (Amber) - General Issue,Construction Management,2020-03-20,FormAnswer,False,True,True,False,Standard,JPC - Safety - Access,1330,Closed,Safety,52,0
T109023.23,Closed,JPC Project Management>EHS Forms,temp elec cable,2020-01-28,,Safety Notice (Amber) - General Issue,Construction Management,2020-02-28,FormAnswer,False,True,True,False,Standard,JPC - Safety - Electrical,1330,Closed,Safety,31,0
T114176.15,Closed,JPC Project Management>EHS Forms>01 Inspections,we need to close off our lay down and exclusion zones,2020-01-27,,Safety Notice (Amber) - General Issue,Main Contractor,2020-02-07,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - Exclusion Zones,1330,Closed,Safety,11,0
T114176.14,Closed,JPC Project Management>EHS Forms>01 Inspections,Jpc permit hut- site personnel using this as access point,2020-01-27,,Safety Notice (Amber) - General Issue,Main Contractor,2020-02-28,FormAnswer,False,True,True,False,Behavioural Failure,JPC - Safety - Access,1330,Closed,Safety,32,0
T114176.13,Closed,JPC Project Management>EHS Forms>01 Inspections,"skip over-loaded, needs to be emptied",2020-01-27,,Safety Notice (Amber) - General Issue,Main Contractor,2020-02-07,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - Storage,1330,Closed,Safety,11,0
T114176.12,Closed,JPC Project Management>EHS Forms>01 Inspections,poor house keeping,2020-01-27,,Safety Notice (Amber) - General Issue,Concrete,2020-02-07,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - House Keeping,1330,Closed,Safety,11,0
T97233.80,Closed,JPC Project Management>EHS Forms>01 Inspections,scaffold loading bay signed off for use on Level 2 however gate to RHS does not fully open. JPC raised concerns about this loading bay and how it is being used,2020-01-24,,Safety Notice (Red) - Serious Issue,Main Contractor,2020-02-28,FormAnswer,False,True,False,False,Standard,JPC - Safety - Lifting / Slinging,1330,Closed,Safety,35,0
T97233.79,Closed,JPC Project Management>EHS Forms>01 Inspections,storage area to be tidied up with barriers and segregation,2020-01-24,,Safety Notice (Amber) - General Issue,Main Contractor,2020-02-07,FormAnswer,False,True,False,False,Standard,JPC - Safety - Storage,1330,Closed,Safety,14,0
T97233.78,Closed,JPC Project Management>EHS Forms>01 Inspections,"storage area to be tidied up, rubbish to be removed",2020-01-24,,Safety Notice (Amber) - General Issue,Concrete,2020-02-07,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1330,Closed,Safety,14,0
T97233.77,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,JPC Stor3s in good shape,2020-01-24,,Safety Notice (Green) - Good Observation,Main Contractor,2020-01-24,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1330,Closed,Safety,0,0
T97233.76,Closed,JPC Project Management>EHS Forms>01 Inspections,Housekeeping to the base of Stair 4,2020-01-24,,Safety Notice (Amber) - General Issue,Main Contractor,2020-02-07,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1330,Closed,Safety,14,0
T97233.75,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,improvements for cutting PVC pipe with con saw,2020-01-24,,Safety Notice (Green) - Good Observation,Groundworks & Drainage,2020-01-24,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1330,Closed,Safety,0,0
T97233.74,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,whiteboard meetings working very well. being held at 14.30 daily with good attendance,2020-01-24,,Safety Notice (Green) - Good Observation,Main Contractor,2020-01-24,FormAnswer,False,True,False,False,Standard,JPC - Safety - Access,1330,Closed,Safety,0,0
T92044.103,Closed,JPC Project Management>EHS Forms,Operative using drill needs ear PROTECTION- ICA carried out - Closed,2020-01-24,,Safety Notice (Amber) - General Issue,Main Contractor,2020-01-24,FormAnswer,False,True,False,False,Standard,JPC - Safety - PPE,1330,Closed,Safety,0,0
T92044.102,Closed,JPC Project Management>EHS Forms,JPC  to ensure full and secure exclusion zone around groundworks works on L1,2020-01-24,,Safety Notice (Amber) - General Issue,Groundworks & Drainage,2020-02-06,FormAnswer,False,True,False,False,Standard,JPC - Safety - Exclusion Zones,1330,Closed,Safety,13,0
T92044.101,Closed,JPC Project Management>EHS Forms,Housekeeping under stair core to be addressed,2020-01-24,,Safety Notice (Amber) - General Issue,Concrete,2020-02-06,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1330,Closed,Safety,13,0
T92044.100,Closed,JPC Project Management>EHS Forms,Water drum to be marked to highlight contents - closed at the time,2020-01-24,,Safety Notice (Amber) - General Issue,Groundworks & Drainage,2020-01-24,FormAnswer,False,True,False,False,Standard,JPC - Safety - Environmental,1330,Closed,Safety,0,0
T92044.99,Closed,JPC Project Management>EHS Forms,Ducting to be tidied / offcuts removed,2020-01-24,,Safety Notice (Amber) - General Issue,Groundworks & Drainage,2020-02-06,FormAnswer,False,True,False,False,Standard,JPC - Safety - Storage,1330,Closed,Safety,13,0
T92044.98,Closed,JPC Project Management>EHS Forms,Laydown area to be tidied out and material segregated,2020-01-24,,Safety Notice (Amber) - General Issue,Main Contractor,2020-02-06,FormAnswer,False,True,False,False,Standard,JPC - Safety - Storage,1330,Closed,Safety,13,0
T86430.26,EHS Good Observation,1330 - Regeneron Building 19,Protection to Columns,2020-01-23,,Safety Notice (Green) - Good Observation,Main Contractor,2020-01-23,FormAnswer,False,True,False,False,Standard,JPC - Safety - Temporary Works,1330,Closed,Safety,0,0
T86430.25,EHS Good Observation,1330 - Regeneron Building 19,Good exclusion zone set up,2020-01-23,,Safety Notice (Green) - Good Observation,Electrical,2020-01-23,FormAnswer,False,True,False,False,Standard,JPC - Safety - Exclusion Zones,1330,Closed,Safety,0,0
T86430.24,Closed,1330 - Regeneron Building 19,Skip overflowing & to be emptied,2020-01-23,,Safety Notice (Amber) - General Issue,Main Contractor,2020-02-28,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1330,Closed,Safety,36,0
T113852.15,Closed,JPC Project Management>EHS Forms>01 Inspections,housekeeping,2020-01-22,,Safety Notice (Amber) - General Issue,Main Contractor,2020-02-07,FormAnswer,False,True,True,False,Standard,JPC - Safety - House Keeping,1330,Closed,Safety,16,0
T113852.14,Closed,JPC Project Management>EHS Forms>01 Inspections,remove redundant steel,2020-01-22,,Safety Notice (Amber) - General Issue,Concrete,2020-02-07,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1330,Closed,Safety,16,0
T113852.13,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,good housekeeping,2020-01-22,,Safety Notice (Green) - Good Observation,Concrete,2020-01-22,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1330,Closed,Safety,0,0
T113852.12,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,good use of spotter,2020-01-22,,Safety Notice (Green) - Good Observation,Main Contractor,2020-01-22,FormAnswer,False,True,True,False,Standard,JPC - Safety - Environmental,1330,Closed,Safety,0,0
T113852.11,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,generator on plant nappy,2020-01-22,,Safety Notice (Green) - Good Observation,Concrete,2020-01-22,FormAnswer,False,True,True,False,Standard,JPC - Safety - Environmental,1330,Closed,Safety,0,0
T113852.10,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,good exclusion zone,2020-01-22,,Safety Notice (Green) - Good Observation,Main Contractor,2020-01-22,FormAnswer,False,True,True,False,Standard,JPC - Safety - Exclusion Zones,1330,Closed,Safety,0,0
T109023.22,Closed,1330 - Regeneron Building 19,damage caused to JPC works by other contractor Deane Roofing working under PM Group. This was something that was witnessed by JPC and JPC reported to PMG,2020-01-21,,Safety Notice (Amber) - General Issue,Construction Management,2020-02-28,FormAnswer,False,True,True,False,Standard,JPC - Quality - Damage,1330,Closed,Safety,38,0
T109023.21,Closed,1330 - Regeneron Building 19,weekly lookaheads with james Kiely and all staff and contractor supervisors working well,2020-01-21,2020-01-26,JPC - Upcoming Work Planning,Main Contractor,2020-03-12,FormAnswer,False,True,False,False,1 Week Look Ahead,Unassigned,1330,Closed,Site Management,51,0
T109023.20,Closed,1330 - Regeneron Building 19,housekeeping on level 1,2020-01-21,,Safety Notice (Amber) - General Issue,Concrete,2020-02-28,FormAnswer,False,True,True,False,Standard,JPC - Safety - House Keeping,1330,Closed,Safety,38,0
T109023.19,Closed,1330 - Regeneron Building 19,walkway needs to be re introduced along the south elevation,2020-01-21,,Safety Notice (Amber) - General Issue,Construction Management,2020-03-20,FormAnswer,False,True,False,False,Standard,JPC - Safety - Welfare Facilities,1330,Closed,Safety,59,0
T114176.11,Closed,JPC Project Management>EHS Forms>01 Inspections,house keeping to be improved near site entrance ar JPC cabin,2020-01-21,,Safety Notice (Amber) - General Issue,Main Contractor,2020-02-07,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - House Keeping,1330,Closed,Safety,17,0
T114176.9,Closed,JPC Project Management>EHS Forms>01 Inspections,access step needs to be highlighted or ramped north elevation,2020-01-21,,Safety Notice (Amber) - General Issue,Main Contractor,2020-02-07,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - Access,1330,Closed,Safety,17,0
T114176.7,Closed,JPC Project Management>EHS Forms>01 Inspections,no clear walkway to building north elevation GL6,2020-01-21,,Safety Notice (Amber) - General Issue,Main Contractor,2020-02-07,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - Access,1330,Closed,Safety,17,0
T97233.73,Closed,JPC Project Management>EHS Forms>01 Inspections,L2 Atrium recess to have an exclusion zone to protect from trips,2020-01-18,,Safety Notice (Amber) - General Issue,Main Contractor,2020-02-07,FormAnswer,False,True,False,False,Standard,JPC - Safety - Exclusion Zones,1330,Closed,Safety,20,0
T97233.72,Closed,JPC Project Management>EHS Forms>01 Inspections,Water Tank - IBC on L3 to have barriers around it,2020-01-18,,Safety Notice (Amber) - General Issue,Main Contractor,2020-02-07,FormAnswer,False,True,False,False,Standard,JPC - Safety - Exclusion Zones,1330,Closed,Safety,20,0
T97233.71,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,"Good use of spill tray for storage of concrete saw, petrol and hot work ancillaries",2020-01-18,,Safety Notice (Green) - Good Observation,Concrete,2020-01-18,FormAnswer,False,True,False,False,Standard,JPC - Safety - Environmental,1330,Closed,Safety,0,0
T97233.70,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,whiteboard meetings working very well. being held at 14.30 daily with good attendance,2020-01-18,,Safety Notice (Green) - Good Observation,Main Contractor,2020-01-18,FormAnswer,False,True,False,False,Standard,JPC - Quality - Management,1330,Closed,Safety,0,0
T92636.161,Closed,JPC Project Management>EHS Forms>01 Inspections,Service Yard - Access route to reviewed with regards gradient of access & finer stone to be used.  ,2020-01-16,,Safety Notice (Amber) - General Issue,Groundworks & Drainage,2020-01-22,FormAnswer,False,True,False,False,Standard,JPC - Safety - Access,1330,Closed,Safety,6,0
T92636.160,Closed,JPC Project Management>EHS Forms>01 Inspections,Service Yard - Barriers around work areas for excavations for storm and electrical installation to be reviewed as they are scattered / not clipped in. Spoke to JPC Engineer and Lavin Supervisor with regards this.  ,2020-01-16,,Safety Notice (Amber) - General Issue,Groundworks & Drainage,2020-01-22,FormAnswer,False,True,False,False,Standard,JPC - Safety - Exclusion Zones,1330,Closed,Safety,6,0
T92636.159,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,Service Yard - Barriers around materials. ,2020-01-16,,Safety Notice (Green) - Good Observation,Concrete,2020-01-16,FormAnswer,False,True,False,False,Standard,JPC - Safety - Exclusion Zones,1330,Closed,Safety,0,0
T92636.158,Closed,JPC Project Management>EHS Forms>01 Inspections,Level 1 - Barriers management to be reviewed between GL 1-5.Redundant / surplus barriers to be tidied up. if barriers are required they must be clipped around working area.  ,2020-01-16,,Safety Notice (Amber) - General Issue,Groundworks & Drainage,2020-01-22,FormAnswer,False,True,False,False,Standard,JPC - Safety - Exclusion Zones,1330,Closed,Safety,6,0
T92636.157,Closed,JPC Project Management>EHS Forms>01 Inspections,"Level 1 - Minor amount of materials (steel rebards, concrete mars bars etc) to be relocated to Loughnane working area.  ",2020-01-16,,Safety Notice (Amber) - General Issue,Concrete,2020-01-22,FormAnswer,False,True,False,False,Standard,JPC - Safety - Storage,1330,Closed,Safety,6,0
T92636.156,Closed,JPC Project Management>EHS Forms>01 Inspections,"Level 1 - Review between GL 10-7 with regards housekeeping to insulation, plastic wrapping etc. Spoke to Loughnane supervisor with regards this. ",2020-01-16,,Safety Notice (Amber) - General Issue,Concrete,2020-01-22,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1330,Closed,Safety,6,0
T92636.155,Closed,JPC Project Management>EHS Forms>01 Inspections,"Level 1 - Plant nappy required to generator, ICA carried out but  should have been in place. JPC Management to monitor & action. ",2020-01-16,,Safety Notice (Amber) - General Issue,Concrete,2020-01-22,FormAnswer,False,True,False,False,Standard,JPC - Safety - Environmental,1330,Closed,Safety,6,0
T92636.154,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,Level 1 - Barriers and access point in place during concrete placement. ,2020-01-16,,Safety Notice (Green) - Good Observation,Concrete,2020-01-16,FormAnswer,False,True,False,False,Standard,JPC - Safety - Exclusion Zones,1330,Closed,Safety,0,0
T92636.153,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,"Level 1 - No issues with pumping to Level 1 recesses -  PPE including tyvek suits, Daily checks on pump in place, Good coordination observed between contractors. ",2020-01-16,,Safety Notice (Green) - Good Observation,Concrete,2020-01-16,FormAnswer,False,True,False,False,Standard,JPC - Safety - Plant & People Interface,1330,Closed,Safety,0,0
T92636.152,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,Level 2 - Barriers in place around laydown area. Monitor materials storage. ,2020-01-16,,Safety Notice (Green) - Good Observation,Concrete,2020-01-16,FormAnswer,False,True,False,False,Standard,JPC - Safety - Exclusion Zones,1330,Closed,Safety,0,0
T92636.151,Closed,JPC Project Management>EHS Forms>01 Inspections,Level 3 - Refrain from storing materials / tools against cladding. Spoke to Western Properties with regards this. ,2020-01-16,,Safety Notice (Amber) - General Issue,General Carpentry Works,2020-01-22,FormAnswer,False,True,False,False,Standard,JPC - Safety - Storage,1330,Closed,Safety,6,0
T92636.150,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,Level 2 - Barriers around Western Properties for Installation of Gullies. ,2020-01-16,,Safety Notice (Green) - Good Observation,General Carpentry Works,2020-01-16,FormAnswer,False,True,False,False,Standard,JPC - Safety - Exclusion Zones,1330,Closed,Safety,0,0
T92636.149,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,Level 2 -Plant nappy in place under Diesel Generator,2020-01-16,,Safety Notice (Green) - Good Observation,Main Contractor,2020-01-16,FormAnswer,False,True,False,False,Standard,JPC - Safety - Environmental,1330,Closed,Safety,0,0
T92636.148,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,"Level 2 - Generator lifting point tagged stating ""Do not lift at this Point"". Due to be certified in coming days as agreed with coring contractors (Garry Brothers) ",2020-01-16,,Safety Notice (Green) - Good Observation,Main Contractor,2020-01-16,FormAnswer,False,True,False,False,Standard,JPC - Safety - Lifting / Slinging,1330,Closed,Safety,0,0
T92636.147,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,"Floaters lifting point tagged to state ""Do not lift at this point"" as it is not certified. Note been lifted via pallet and strapped to forks of teleporter ",2020-01-16,,Safety Notice (Green) - Good Observation,Concrete,2020-01-16,FormAnswer,False,True,False,False,Standard,JPC - Safety - Lifting / Slinging,1330,Closed,Safety,0,0
T92636.146,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,Level 3 - Barriers in place around steel rebar. ,2020-01-16,,Safety Notice (Green) - Good Observation,Concrete,2020-01-16,FormAnswer,False,True,False,False,Standard,JPC - Safety - Storage,1330,Closed,Safety,0,0
T92636.145,Closed,JPC Project Management>EHS Forms>01 Inspections,Level 3 -  Minor off cuts of timber to be skipped,2020-01-16,,Safety Notice (Amber) - General Issue,Concrete,2020-01-22,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1330,Closed,Safety,6,0
T92636.144,Closed,JPC Project Management>EHS Forms>01 Inspections,"Level 3 - 3nr scissor lifts requires JPC/PMG plant sticker, yellow nocs to be in place prior to use. Note only delivered today (16th Jan) ",2020-01-16,,Safety Notice (Amber) - General Issue,Internal Partitions & Ceilings,2020-01-22,FormAnswer,False,True,False,False,Standard,JPC - Safety - Plant & Equipment,1330,Closed,Safety,6,0
T92636.143,EHS Good Observation,JPC Project Management>EHS Forms>01 Inspections,Level 3 - Ope signage in place for floor gullies. Timber ply in place until steel plate is delivered & installed. Approx 20 nr in place to date. ,2020-01-16,,Safety Notice (Green) - Good Observation,Main Contractor,2020-01-16,FormAnswer,False,True,False,False,Standard,JPC - Safety - Access,1330,Closed,Safety,0,0
T86430.23,Closed,1330 - Regeneron Building 19,Plant nappy required,2020-01-16,,Safety Notice (Amber) - General Issue,Concrete,2020-02-28,FormAnswer,False,True,False,False,Standard,JPC - Safety - Environmental,1330,Closed,Safety,43,0
T86430.22,EHS Good Observation,1330 - Regeneron Building 19,Fire extinguishers available on Level 2,2020-01-16,,Safety Notice (Green) - Good Observation,Main Contractor,2020-01-16,FormAnswer,False,True,False,False,Standard,JPC - Safety - Environmental,1330,Closed,Safety,0,0
T86430.21,Closed,1330 - Regeneron Building 19,Poor housekeeping,2020-01-16,,Safety Notice (Amber) - General Issue,Concrete,2020-02-28,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1330,Closed,Safety,43,0
T113852.9,Closed,JPC Project Management>EHS Forms,Barriers required for fabrication area. Closed straight after picture was taken,2020-01-15,,Safety Notice (Amber) - General Issue,Concrete,2020-02-28,FormAnswer,False,True,False,False,Standard,JPC - Safety - Exclusion Zones,1330,Closed,Safety,44,0
T113852.8,EHS Good Observation,JPC Project Management>EHS Forms,consaw on plant nappy and also fire extinguisher present.,2020-01-15,,Safety Notice (Green) - Good Observation,Concrete,2020-01-15,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1330,Closed,Safety,0,0
T113852.7,Closed,JPC Project Management>EHS Forms,Housekeeping to be addressed,2020-01-15,,Safety Notice (Amber) - General Issue,Concrete,2020-02-28,FormAnswer,False,True,False,False,Standard,JPC - Safety - House Keeping,1330,Closed,Safety,44,0
T113852.6,EHS Good Observation,JPC Project Management>EHS Forms,Good use of barriers and signage,2020-01-15,,Safety Notice (Green) - Good Observation,Concrete Coring,2020-01-15,FormAnswer,False,True,False,False,Standard,JPC - Safety - Exclusion Zones,1330,Closed,Safety,0,0
T113852.5,EHS Good Observation,JPC Project Management>EHS Forms,Good use of signage over opes,2020-01-15,,Safety Notice (Green) - Good Observation,Main Contractor,2020-01-15,FormAnswer,False,True,False,False,Standard,JPC - Safety - Exclusion Zones,1330,Closed,Safety,0,0
T86421.17,Closed,JPC Project Management>EHS Forms>01 Inspections,Radon installation of a high standard ,2020-01-14,,JPC - Good Quality Observation,"DPM, Waterproofing",2020-01-14,FormAnswer,False,True,False,False,Standard,JPC - Quality - Workmanship,1330,Closed,Quality,0,0
T86421.15,Closed,JPC Project Management>EHS Forms>01 Inspections,ITP to be updated ,2020-01-14,2020-02-10,JPC - Works To Go,Main Contractor,2020-03-18,FormAnswer,False,False,False,False,High,Unassigned,1330,Closed,Site Management,64,0
T109023.18,EHS Good Observation,JPC Project Management,good observation of a team huddle witnessed,2020-01-14,,Safety Notice (Green) - Good Observation,Groundworks & Drainage,2020-01-14,FormAnswer,False,True,False,False,Standard,JPC - Quality - Management,1330,Closed,Safety,0,0
T109023.17,Closed,JPC Project Management,petrol saw left on the floor no plant nappy,2020-01-14,,Safety Notice (Amber) - General Issue,Concrete,2020-02-25,FormAnswer,False,True,False,False,Standard,JPC - Safety - Environmental,1330,Closed,Safety,42,0
T109023.16,JPC Inspected,JPC Project Management,levels and finish on the ground prep for radon quality to improve,2020-01-14,2020-01-19,JPC - Quality Defect (compliance),Groundworks & Drainage,2020-02-25,FormAnswer,False,True,False,False,Standard,JPC - Quality - Workmanship,1330,Open,Quality,42,0
T114176.6,Closed,JPC Project Management>EHS Forms>01 Inspections,no exclusion zone around Bradley's excavations,2020-01-13,,Safety Notice (Amber) - General Issue,Main Contractor,2020-02-07,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - Exclusion Zones,1330,Closed,Safety,25,0
T114176.5,Closed,JPC Project Management>EHS Forms>01 Inspections,house keeping to be improved,2020-01-13,,Safety Notice (Amber) - General Issue,Concrete,2020-02-07,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - House Keeping,1330,Closed,Safety,25,0
T114176.4,Closed,JPC Project Management>EHS Forms>01 Inspections,no red hoop gate at road crossing,2020-01-13,,Safety Notice (Amber) - General Issue,Main Contractor,2020-02-07,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - Access,1330,Closed,Safety,25,0
T114176.3,Closed,JPC Project Management>EHS Forms>01 Inspections,poor lighting on walkway to B19,2020-01-13,,Safety Notice (Amber) - General Issue,Main Contractor,2020-02-28,FormAnswer,False,True,False,False,Behavioural Failure,JPC - Safety - Access,1330,Closed,Safety,46,0
